filtered itens,extended.accuracy,base.accuracy,selected.accuraccy,Delta (Selected vs Base),selected.confidenceInterval
abalone,64.35,54.66,63.35,-1,0.0255
aids,60.83,60,58.33,-2.5,0.1054
airlines,59.81,60,59.86,0.05,0.0306
analcatdata_creditscore,98.89,98.89,98.89,0,0.0333
authorship,98.81,99.17,96.56,-2.25,0.0314
autoMpg,89.71,86.64,88.67,-1.04,0.0497
autoUniv-au7-700,46.29,49.28,46.32,0.03,0.0657
backache,85.63,86.75,84.46,-1.17,0.0334
blood-transfusion-service-center,67.13,67.53,67.53,0.4,0.1271
bondrate,64.38,63.57,62.14,-2.24,0.1699
breast-w,95.87,96.29,95.72,-0.15,0.0284
churn,95.84,94.96,96.14,0.3,0.0106
cmc,52.54,51.79,52,-0.54,0.022
credit-g,69.9,70.8,69.9,0,0.0383
cyyoung,83.72,84.97,80.75,-2.97,0.134
diabetes,76.3,75.78,77.34,1.04,0.0682
diabetes130US,44.88,41.25,32.35,-12.53,0.1008
ecoli,86.93,87.89,85.25,-1.68,0.043
eeg-eye-state,57.03,54.57,59.24,2.21,0.1511
electricity,68.92,69.41,69.29,0.37,0.0664
glass,74.47,82.13,74.42,-0.05,0.1135
haberman,69.36,64.78,65.42,-3.94,0.0951
heart-statlog,82.22,84.07,81.48,-0.74,0.0683
hepatitis,75.03,75.03,75.03,0,0.0757
houses,94.63,94.26,94.78,0.15,0.0509
KDDCup09_upselling,92.46,92.47,92.41,-0.05,0.0004
letter,97.24,96.57,97.22,-0.02,0.0031
mammography,98.84,98.75,98.8,-0.04,0.0018
morphological,99.85,99.75,99.85,0,0.0023
page-blocks,97.09,96.77,96.84,-0.25,0.0132
phoneme,91.52,91.36,90.9,-0.62,0.0151
prnn_crabs,99.5,75.5,97.5,-2,0.025
profb,62.8,59.67,62.37,-0.43,0.0418
rmftsa_sleepdata,36.25,36.25,36.66,0.41,0.0791
satellite,99.45,99.29,99.31,-0.14,0.0036
satimage,90.96,90.08,91.59,0.63,0.0102
sonar,70.11,73.72,69.97,-0.14,0.142
tae,79.1,80.43,81.1,2,0.2143
teachingAssistant,60.66,65.2,64.08,3.42,0.1412
titanic,64.55,64.17,64.32,-0.23,0.0981
vehicle,78.61,75.53,77.19,-1.42,0.0415
vinnie,80.98,80.47,80.47,-0.51,0.0868
volcanoes,96.34,96.44,96.35,0.01,0.0039
wall-robot-navigation,99.65,99.82,99.69,0.04,0.0093
wholesale-customers,91.35,91.82,92.26,0.91,0.0544
wine,96.7,96.73,96.14,-0.56,0.0426
yeast,58.65,59.19,59.18,0.53,0.0387
allbp,97.61,97.43,97.72,0.11,0.0054
thyroid-ann,99.66,99.58,99.73,0.07,0.0027
autos,66.37,70.27,66.11,-0.26,0.1163
optdigits,97.77,97.69,97.76,-0.01,0.0092
engine,84.36,86.01,81.98,-2.38,0.1926
calendardow,57.36,59.38,58.2,0.84,0.1978
led-display-domain,71.7,71.77,71.94,0.24,0.0546
smartphone-based_recognition_of_human_activities,97.22,97.22,96.11,-1.11,0.0558
steel-plates-fault,97.16,93.62,97.16,0,0.0851
volcanoes-d4,94.06,94.2,94.1,0.04,0.0038
BNG_breast-w,98.62,98.61,98.59,-0.03,0.0016
BNG_cmc,52.08,52.02,53.33,1.25,0.0057
qsar-biodeg,85.49,84.64,84.92,-0.57,0.0436
kc2,79.98,79.41,79.99,0.01,0.0956
ozone-level-8hr,93.84,93.84,93.77,-0.07,0.0188
hill-valley,97.61,49.33,88.53,-9.08,0.024
wdbc,97.37,95.45,97.2,-0.17,0.0247
climate-model-simulation-crashes,91.31,91.5,90.93,-0.38,0.0149
spambase,93.26,94.04,93.78,0.52,0.0342
ilpd,66.73,67.92,67.74,1.01,0.0511
kc1,84.12,83.12,83.22,-0.9,0.0402
pc1,93.61,93.34,93.7,0.09,0.023
pc3,90.08,90.15,90.21,0.13,0.01
pc4,91.43,90.6,91.08,-0.35,0.011
banknote-authentication,99.93,99.34,99.93,0,0.0022
mozilla4,85.39,84.55,84.43,-0.96,0.1825
pendigits,99.34,99.07,98.96,-0.38,0.0037
balance-scale,84.65,68.42,79.36,-5.29,0.0896
cardiotocography,100,100,100,0,0
first-order-theorem-proving,57.68,57.55,57.53,-0.15,0.0663
wilt,98.26,94.32,98.28,0.02,0.0164
thyroid-allhyper,70.5,71.04,70.68,0.18,0.023
thyroid-allbp,70.5,71.04,70.68,0.18,0.023
thyroid-allhypo,70.5,71.04,70.68,0.18,0.023
thyroid-allrep,70.5,71.04,70.68,0.18,0.023
thyroid-dis,70.5,71.04,70.68,0.18,0.023
satellite_image,89.14,87.91,89.84,0.7,0.0261
seismic-bumps,91.14,91.68,91.18,0.04,0.0374
segment,98.18,98.01,98.14,-0.04,0.0106
breast-tissue,57.4,66.48,60.76,3.36,0.1351
credit-approval,75.26,74.09,74.38,-0.88,0.0763
banana,89,89.6,89,0,0.0146
pc1_req,67.48,66.49,64.67,-2.81,0.0578
parkinsons,84.56,86.09,83.54,-1.02,0.1244
iris,96.67,94,96,-0.67,0.0442
jungle_chess_2pcs_raw_endgame_complete,71.41,68.22,62.57,-8.84,0.1178
oil_spill,96.05,95.94,95.51,-0.54,0.0322
thoracic-surgery,83.4,84.04,84.68,1.28,0.0159
jm1,79.27,79.35,78.98,-0.29,0.0205
JapaneseVowels,93.35,92.52,93.14,-0.21,0.0205
eucalyptus,20.39,20.79,20.39,0,0.1317
allrep,98.3,97.93,98.57,0.27,0.005
user-knowledge,90.94,89.95,87.25,-3.69,0.0491
