RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Na_sum_Mg,Na_sum_Al,Na_sum_Si,Na_sum_K,Na_sum_Ca,Na_sum_Ba,Mg_sum_Al,Mg_sum_Si,Mg_sum_K,Mg_sum_Ca,Mg_sum_Ba,Al_sum_Si,Al_sum_K,Al_sum_Ca,Al_sum_Ba,Si_sum_K,Si_sum_Ca,Si_sum_Ba,K_sum_Ca,K_sum_Ba,Ca_sum_Ba,Na_diff_Mg,Na_diff_Al,Na_diff_Si,Na_diff_K,Na_diff_Ca,Na_diff_Ba,Mg_diff_Si,Mg_diff_K,Mg_diff_Ca,Al_diff_Si,Al_diff_K,Al_diff_Ba,Si_diff_K,Si_diff_Ca,Si_diff_Ba,K_diff_Ca,K_diff_Ba,Ca_diff_Ba,Mg_mult_Al,Mg_mult_K,Mg_mult_Ba,Mg_mult_Fe,Al_mult_Ca,Al_mult_Fe,K_mult_Ba,K_mult_Fe,Ba_mult_Fe,RI_div_Mg,RI_div_Al,RI_div_K,RI_div_Ba,RI_div_Fe,Na_div_Ca,Mg_div_Al,Mg_div_K,Mg_div_Fe,Al_div_K,Al_div_Ca,K_div_Fe,Ba_div_Fe,class
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,16.29,13.91,85.82,13.43,21.56,12.79,4.62,76.53,4.14,12.27,3.5,74.15,1.7600000000000002,9.89,1.12,73.67,81.8,73.03,9.41,0.64,8.77,9.29,11.669999999999998,-60.24,12.149999999999999,4.02,12.79,-69.53,2.86,-5.27,-71.91,0.4800000000000001,1.12,72.39,64.26,73.03,-8.129999999999999,0.64,8.77,3.9200000000000004,2.24,0.0,0.0,9.8224,0.0,0.0,0.0,0.0,0.4336942857142857,1.3552946428571426,2.371765625,0.0,0.0,1.4583808437856327,3.1249999999999996,5.46875,0.0,1.7500000000000002,0.12770809578107187,0.0,0.0,'build wind float'
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,15.68,13.51,85.05,12.73,20.689999999999998,12.16,4.87,76.41,4.09,12.049999999999999,3.52,74.24,1.92,9.879999999999999,1.35,73.46,81.42,72.89,9.1,0.57,8.53,8.64,10.81,-60.730000000000004,11.59,3.630000000000001,12.16,-69.37,2.95,-5.01,-71.54,0.7800000000000001,1.35,72.32000000000001,64.36,72.89,-7.959999999999999,0.57,8.53,4.752000000000001,2.0063999999999997,0.0,0.0,11.5155,0.0,0.0,0.0,0.0,0.43080397727272723,1.1232814814814813,2.66040350877193,0.0,0.0,1.425556858147714,2.607407407407407,6.175438596491229,0.0,2.368421052631579,0.1582649472450176,0.0,0.0,'vehic wind float'
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,16.69,14.620000000000001,85.85,13.8,21.64,13.21,4.89,76.12,4.07,11.91,3.48,74.05,2.0,9.84,1.41,73.23,81.07,72.64,9.02,0.59,8.43,9.73,11.8,-59.43,12.620000000000001,4.780000000000001,13.21,-69.16,2.89,-4.949999999999999,-71.23,0.82,1.41,72.05,64.21000000000001,72.64,-7.84,0.59,8.43,4.9068,2.0532,0.0,0.0,11.886299999999999,0.0,0.0,0.0,0.0,0.4361867816091954,1.0765460992907803,2.572762711864407,0.0,0.0,1.5670225385527878,2.4680851063829787,5.898305084745763,0.0,2.389830508474576,0.16725978647686832,0.0,0.0,'build wind float'
1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,16.14,15.940000000000001,88.95,14.4,21.990000000000002,14.4,3.2800000000000002,76.28999999999999,1.74,9.33,1.74,76.09,1.54,9.129999999999999,1.54,74.55,82.14,74.55,7.59,0.0,7.59,12.66,12.86,-60.15,14.4,6.8100000000000005,14.4,-72.81,1.74,-5.85,-73.00999999999999,1.54,1.54,74.55,66.96,74.55,-7.59,0.0,7.59,2.6796,0.0,0.0,0.0,11.6886,0.0,0.0,0.0,0.0,0.8695344827586208,0.982461038961039,0.0,0.0,0.0,1.8972332015810278,1.12987012987013,0.0,0.0,0.0,0.2028985507246377,0.0,0.0,tableware
1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,12.3,13.3,82.46,12.42,28.490000000000002,12.3,1.0,70.16,0.12,16.19,0.0,71.16,1.12,17.19,1.0,70.28,86.35,70.16,16.310000000000002,0.12,16.19,12.3,11.3,-57.86,12.180000000000001,-3.8900000000000006,12.3,-70.16,-0.12,-16.19,-69.16,0.88,1.0,70.03999999999999,53.97,70.16,-16.07,0.12,16.19,0.0,0.0,0.0,0.0,16.19,0.24,0.0,0.0288,0.0,0.0,1.53393,12.78275,0.0,6.391375,0.7597282273008029,0.0,0.0,0.0,8.333333333333334,0.061766522544780725,0.5,0.0,'build wind non-float'
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,15.6,14.19,86.02,13.32,21.54,12.86,4.29,76.11999999999999,3.42,11.639999999999999,2.96,74.71,2.01,10.229999999999999,1.55,73.83999999999999,82.06,73.38,9.36,0.6799999999999999,8.899999999999999,9.9,11.31,-60.519999999999996,12.18,3.960000000000001,12.64,-70.42,2.2800000000000002,-5.9399999999999995,-71.83,0.87,1.3299999999999998,72.7,64.47999999999999,73.16,-8.219999999999999,0.45999999999999996,8.68,4.104,1.6244999999999998,0.3135,0.627,12.657599999999999,0.31679999999999997,0.06269999999999999,0.12539999999999998,0.0242,0.5321228070175439,1.0531597222222222,2.6606140350877197,13.786818181818182,6.893409090909091,1.4505119453924915,1.9791666666666667,5.000000000000001,12.954545454545455,2.5263157894736845,0.16382252559726965,2.590909090909091,0.5,'build wind non-float'
1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,17.29,14.290000000000001,86.64,13.700000000000001,22.57,13.64,4.3,76.65,3.71,12.58,3.65,73.65,0.71,9.58,0.65,73.06,81.93,73.0,8.99,0.06,8.93,9.99,12.99,-59.36,13.58,4.710000000000001,13.64,-69.35,3.59,-5.279999999999999,-72.35,0.5900000000000001,0.65,72.94,64.07,73.0,-8.87,0.06,8.93,2.3725,0.219,0.0,0.0,5.8045,0.0,0.0,0.0,0.0,0.41583287671232877,2.3350615384615385,25.2965,0.0,0.0,1.5274356103023516,5.615384615384615,60.833333333333336,0.0,10.833333333333334,0.07278835386338187,0.0,0.0,'vehic wind float'
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,15.98,14.42,85.99,13.690000000000001,22.21,13.14,4.12,75.69,3.3899999999999997,11.91,2.84,74.13,1.83,10.35,1.28,73.39999999999999,81.91999999999999,72.85,9.620000000000001,0.55,9.07,10.3,11.860000000000001,-59.709999999999994,12.59,4.07,13.14,-70.00999999999999,2.29,-6.23,-71.57,0.73,1.28,72.3,63.779999999999994,72.85,-8.52,0.55,9.07,3.6351999999999998,1.562,0.0,0.0,11.6096,0.0,0.0,0.0,0.0,0.534637323943662,1.1862265625,2.760672727272727,0.0,0.0,1.4487320837927233,2.21875,5.163636363636363,0.0,2.327272727272727,0.14112458654906285,0.0,0.0,'build wind float'
1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,14.14,16.82,87.53,14.22,23.21,14.75,2.68,73.39,0.08,9.07,0.61,76.07000000000001,2.7600000000000002,11.75,3.29,73.47,82.46000000000001,74.0,9.15,0.69,9.68,14.14,11.46,-59.25,14.06,5.07,13.530000000000001,-73.39,-0.08,-9.07,-70.71,2.6,2.0700000000000003,73.31,64.32,72.78,-8.99,-0.53,8.46,0.0,0.0,0.0,0.0,24.3076,0.134,0.0488,0.004,0.0305,0.0,0.5654664179104477,18.943125,2.4843442622950818,30.308999999999997,1.5589856670341786,0.0,0.0,0.0,33.5,0.29547960308710036,1.5999999999999999,12.2,headlamps
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,17.09,14.49,85.52,13.74,21.63,13.19,5.2,76.23,4.45,12.34,3.9,73.63,1.85,9.74,1.3,72.88,80.77,72.33,8.99,0.55,8.44,9.29,11.889999999999999,-59.14,12.639999999999999,4.75,13.19,-68.42999999999999,3.3499999999999996,-4.539999999999999,-71.03,0.75,1.3,71.78,63.89,72.33,-7.89,0.55,8.44,5.07,2.145,0.0,1.092,10.972,0.36400000000000005,0.0,0.15400000000000003,0.0,0.3892025641025641,1.1676076923076923,2.7598,0.0,5.421035714285714,1.5627962085308058,3.0,7.09090909090909,13.928571428571427,2.3636363636363633,0.15402843601895735,1.9642857142857142,0.0,'build wind non-float'
