,feature,accuracy_original,accuracy_derived,accuracy_delta,class
0,Al_diff_K,75.85284522241044,75.84879854445073,-0.0040466779597068125,0
1,Ba_mult_Fe,75.85284522241044,75.50304285086894,-0.3498023715415002,0
2,K_diff_Ba,75.85284522241044,75.47923332705942,-0.3736118953510186,0
3,Na_diff_K,75.85284522241044,75.4180626137148,-0.43478260869564167,0
4,Ca_diff_Ba,75.85284522241044,75.41401593575506,-0.4388292866553769,0
5,RI_div_Al,75.85284522241044,75.04445071836376,-0.8083945040466745,0
6,Mg_sum_Al,75.85284522241044,75.02468787251397,-0.8281573498964718,0
7,Mg_sum_Si,75.85284522241044,75.02468787251397,-0.8281573498964718,0
8,Al_mult_Ca,75.85284522241044,75.02468787251397,-0.8281573498964718,0
9,Na_diff_Ba,75.85284522241044,74.98328000501914,-0.8695652173912976,0
10,Na_sum_Ba,75.85284522241044,74.98328000501914,-0.8695652173912976,0
11,Na_sum_Mg,75.85284522241044,74.96163498337411,-0.8912102390363259,0
12,Si_diff_K,75.85284522241044,74.9180626137148,-0.9347826086956417,0
13,Na_diff_Ca,75.85284522241044,74.9180626137148,-0.9347826086956417,0
14,Mg_div_K,75.85284522241044,74.90391492565406,-0.9489302967563731,0
15,Al_mult_Fe,75.85284522241044,74.58990526381831,-1.2629399585921277,0
16,K_mult_Fe,75.85284522241044,74.5899052638183,-1.262939958592142,0
17,Na_sum_Ca,75.85284522241044,74.54849739632348,-1.3043478260869534,0
18,Na_sum_Si,75.85284522241044,74.54849739632348,-1.3043478260869534,0
19,Na_diff_Al,75.85284522241044,74.54445071836375,-1.3083945040466887,0
20,Al_diff_Ba,75.85284522241044,74.52468787251398,-1.3281573498964576,0
21,Na_diff_Mg,75.85284522241044,74.50708952882867,-1.345755693581765,0
22,Na_sum_K,75.85284522241044,74.50708952882866,-1.3457556935817792,0
23,Na_sum_Al,75.85284522241044,74.50708952882866,-1.3457556935817792,0
24,K_diff_Ca,75.85284522241044,74.50304285086895,-1.349802371541486,0
25,Mg_mult_Ba,75.85284522241044,74.48328000501914,-1.3695652173912976,0
26,RI_div_Ba,75.85284522241044,74.48328000501914,-1.3695652173912976,0
27,Si_diff_Ba,75.85284522241044,74.48328000501914,-1.3695652173912976,0
28,Al_div_Ca,75.85284522241044,74.40796160361378,-1.444883618796652,0
29,K_mult_Ba,75.85284522241044,74.15512265512267,-1.6977225672877694,0
30,Mg_mult_K,75.85284522241044,74.11371478762784,-1.739130434782595,0
31,Al_diff_Si,75.85284522241044,74.08990526381831,-1.7629399585921277,0
32,Na_div_Ca,75.85284522241044,74.07418909592823,-1.778656126482204,0
33,K_sum_Ca,75.85284522241044,74.07230692013302,-1.7805383022774208,0
34,Mg_div_Al,75.85284522241044,74.0525440742832,-1.8003011481272324,0
35,Mg_diff_Ca,75.85284522241044,74.0484973963235,-1.8043478260869392,0
36,Mg_mult_Al,75.85284522241044,74.0484973963235,-1.8043478260869392,0
37,Si_diff_Ca,75.85284522241044,74.0484973963235,-1.8043478260869392,0
38,Ca_sum_Ba,75.85284522241044,74.0484973963235,-1.8043478260869392,0
39,Ba_div_Fe,75.85284522241044,74.04849739632348,-1.8043478260869534,0
40,Al_sum_Ca,75.85284522241044,74.02685237467847,-1.8259928477319676,0
41,Al_sum_K,75.85284522241044,74.02685237467847,-1.8259928477319676,0
42,RI_div_Mg,75.85284522241044,74.02468787251395,-1.828157349896486,0
43,K_div_Fe,75.85284522241044,74.00708952882866,-1.8457556935817792,0
44,Al_sum_Si,75.85284522241044,74.00708952882866,-1.8457556935817792,0
45,Mg_div_Fe,75.85284522241044,73.99294184076794,-1.8599033816424964,0
46,Si_sum_Ba,75.85284522241044,73.65916933308237,-2.1936758893280626,0
47,Si_sum_K,75.85284522241044,73.63752431143736,-2.2153209109730767,0
48,Mg_sum_Ba,75.85284522241044,73.63347763347764,-2.2193675889327977,0
49,Si_sum_Ca,75.85284522241044,73.59395194177803,-2.2588932806324067,0
50,Al_div_K,75.85284522241044,73.59395194177803,-2.2588932806324067,0
51,Mg_sum_K,75.85284522241044,73.54849739632348,-2.3043478260869534,0
52,K_sum_Ba,75.85284522241044,73.54849739632348,-2.3043478260869534,0
53,Mg_mult_Fe,75.85284522241044,73.54849739632348,-2.3043478260869534,0
54,Mg_diff_Si,75.85284522241044,73.52873455047369,-2.324110671936751,0
55,RI_div_Fe,75.85284522241044,73.15916933308239,-2.6936758893280484,0
56,Al_sum_Ba,75.85284522241044,73.14157098939708,-2.7112742330133557,0
57,Na_diff_Si,75.85284522241044,73.13347763347764,-2.7193675889327977,0
58,Mg_diff_K,75.85284522241044,73.09395194177803,-2.7588932806324067,0
59,Mg_sum_Ca,75.85284522241044,73.07230692013302,-2.780538302277421,0
60,RI_div_K,75.85284522241044,71.76984126984127,-4.083003952569172,0
