"","accuracy_delta","accuracy_derived","accuracy_original","feature","class","general.attrtoinst","general.cattonum","general.freqclass.mean","general.freqclass.sd","general.insttoattr","general.nrattr","general.nrbin","general.nrcat","general.nrclass","general.nrinst","general.nrnum","general.numtocat","statistical.cancor.mean","statistical.cancor.sd","statistical.gravity","statistical.cor.mean","statistical.cor.sd","statistical.cov.mean","statistical.cov.sd","statistical.nrdisc","statistical.eigenvalues.mean","statistical.eigenvalues.sd","statistical.gmean.mean","statistical.gmean.sd","statistical.hmean.mean","statistical.hmean.sd","statistical.iqrange.mean","statistical.iqrange.sd","statistical.kurtosis.mean","statistical.kurtosis.sd","statistical.mad.mean","statistical.mad.sd","statistical.max.mean","statistical.max.sd","statistical.mean.mean","statistical.mean.sd","statistical.median.mean","statistical.median.sd","statistical.min.mean","statistical.min.sd","statistical.nrcorattr","statistical.nrnorm","statistical.nroutliers","statistical.range.mean","statistical.range.sd","statistical.sd.mean","statistical.sd.sd","statistical.sdratio","statistical.skewness.mean","statistical.skewness.sd","statistical.sparsity.mean","statistical.sparsity.sd","statistical.tmean.mean","statistical.tmean.sd","statistical.var.mean","statistical.var.sd","statistical.wlambda","model.based.leaves","model.based.leavesbranch.mean","model.based.leavesbranch.sd","model.based.leavescorrob.mean","model.based.leavescorrob.sd","model.based.leaveshomo.mean","model.based.leaveshomo.sd","model.based.leavesperclass.mean","model.based.leavesperclass.sd","model.based.nodes","model.based.nodesperattr","model.based.nodesperinst","model.based.nodesperlevel.mean","model.based.nodesperlevel.sd","model.based.nodesrepeated.mean","model.based.nodesrepeated.sd","model.based.treedepth.mean","model.based.treedepth.sd","model.based.treeimbalance.mean","model.based.treeimbalance.sd","model.based.treeshape.mean","model.based.treeshape.sd","model.based.varimportance.mean","model.based.varimportance.sd"
"Na_diff_K",0.0414078674948399,75.8942530899053,75.8528452224104,"Na_diff_K",1,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.1450227875767,0.253862005380656,0.228862158716547,0.737254152195497,3.67256180493805,5,13.0583408896867,58.2299825315292,NA,NA,9.93882433954129,29.5137761334946,1.13031488741256,1.56532235161027,15.9915990631181,30.3352713232336,0.489664712084951,0.480823455535261,23.4213087645782,41.6978667610678,10.7232812428516,29.3277143814684,10.4593386538576,29.4066201415417,7.6091186717483,28.7978013276558,0.157837837837838,0,71,15.81219009283,31.9237797092766,1.87418544376203,3.11042870058608,NA,1.7589062581419,3.06017590304967,0.00957496577492753,0.0229709435386206,10.4748893231612,29.3880628355282,13.0583408896867,48.3606385000153,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0152370047866084
"Al_diff_K",-0.00404667795970681,75.8487985444507,75.8528452224104,"Al_diff_K",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.276416731902,0.254331565443252,0.229860095508179,0.741326258962316,3.67279193264253,5,13.0705178758362,58.23237399376,NA,NA,10.0988608230735,29.4959810391056,1.14188155407923,1.56318761780674,15.9127818750357,30.3520729990363,0.49658351208495,0.481739196677816,23.6157087645783,41.6343672235472,10.8827871618547,29.3063537730349,10.6186719871909,29.3860802163983,7.74218533841496,28.7702715190493,0.15963963963964,0,71,15.8735234261633,31.9090693551705,1.88075754396373,3.10839136777581,NA,1.76594315476195,3.05327493749904,0.00953879039397597,0.0229815283614624,10.6345098359817,29.3676279549034,13.0705178758362,48.3575389069779,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0150055945667519
"Ba_mult_Fe",-0.3498023715415,75.5030428508689,75.8528452224104,"Ba_mult_Fe",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,7.0216669371534e-16,15.2839366727564,0.256665234410284,0.230490997086684,0.748579199353019,3.67214909857466,5,13.0766311362906,58.2349271397631,NA,NA,10.1092668623852,29.4925075290451,1.14744822074589,1.55980603513216,13.6591224999747,23.3560016159614,0.50053711208495,0.478816591169925,23.6412820979116,41.6208014993719,10.895329847213,29.3018372159446,10.6296719871909,29.3822058021244,7.69965200508163,28.7842266968956,0.162162162162162,0,71,15.94163009283,31.8820789061972,1.88899606860772,3.10432212685893,NA,1.57087059202418,2.76886622276961,0.00864060736406452,0.021903851639538,10.6459508616228,29.363595849419,13.0766311362906,48.3558936766489,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0175438596491228,0.0149716944149213
"K_diff_Ba",-0.373611895351019,75.4792333270594,75.8528452224104,"K_diff_Ba",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2766895817758,0.254282586710928,0.229538428833878,0.741246096048283,3.67305273094357,5,13.0673462185738,58.2342200336714,NA,NA,10.1092668623852,29.4925075290451,1.14068155407923,1.56371564510015,15.7818326284102,30.3451243915146,0.49806611208495,0.480938764678052,23.5702420979116,41.6554885122263,10.8911317101413,29.3033950633074,10.6224719871909,29.3847776998677,7.7339186717483,28.7733635050631,0.158918918918919,0,71,15.8363234261633,31.919075568111,1.8786664616729,3.10915581404981,NA,1.71313310252806,3.07455800144291,0.00949891334613635,0.0229884399209256,10.6401929129048,29.3656680812751,13.0673462185738,48.3583690033293,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0147640717814
"Ca_diff_Ba",-0.438829286655377,75.4140159357551,75.8528452224104,"Ca_diff_Ba",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.280308722902,0.252262343551283,0.22697975922659,0.731487954525771,3.67206502753209,5,13.0442519789178,58.2249129588581,NA,NA,9.99593260852742,29.5150983890739,1.13361488741256,1.56538492330456,16.0048640086842,30.3308917338279,0.49114731208495,0.481664712021779,23.4371754312449,41.6953042827602,10.7783329562472,29.3278961600061,10.5159386538576,29.406941742497,7.65178533841496,28.7941364723406,0.156756756756757,0,71,15.78539009283,31.9273562792602,1.86902929577889,3.11127767767619,NA,1.73093824291836,3.07521446072169,0.0095668214631087,0.0229736848540468,10.5317508616228,29.3884432423959,13.0442519789178,48.3639298300909,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0149621594333032
"RI_div_Al",-0.808394504046674,75.0444507183638,75.8528452224104,"RI_div_Al",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,5.1777354920728e-16,15.279095866861,0.25483321533559,0.229806389675632,0.742067574853533,3.67159025868191,5,13.0722275434591,58.2270234382131,NA,NA,10.0952596392285,29.497117148735,1.14285707520792,1.56270593161124,15.871275149764,30.3545813809778,0.497054530826512,0.481523156577143,23.5831726726242,41.6498718065996,10.879330602514,29.3075256664566,10.6147937518968,29.3873704644903,7.69388004317687,28.7857469188284,0.158918918918919,0,71,15.8892926294474,31.9038184248938,1.88211658607426,3.10783633019616,NA,1.70308706715384,3.07068028444607,0.00959810436764937,0.0229620181993974,10.6312747280259,29.3687057252491,13.0722275434591,48.357084794708,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0150275699400626
"Mg_sum_Al",-0.828157349896472,75.024687872514,75.8528452224104,"Mg_sum_Al",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.1847983527077,0.251661703764773,0.226863837841757,0.729024272109354,3.67088273609271,5,13.0548708322371,58.2149691926898,NA,NA,10.0666324452016,29.5049426867014,1.13091488741256,1.56537358648449,16.0737030940538,30.3009704951474,0.49282759208495,0.48219206978007,23.5706420979116,41.6553194081611,10.8403659780541,29.3185615454949,10.5669386538576,29.4000437454049,7.6951186717483,28.7854282077973,0.155315315315315,0,71,15.8755234261633,31.9084366691124,1.87277018120705,3.11072730056252,NA,1.76336490809034,3.05595006824676,0.00956401338614771,0.022974581745151,10.5856985539304,29.3809691701966,13.0548708322371,48.3614785103482,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0175438596491228,0.0153863942906618
"Mg_sum_Si",-0.828157349896472,75.024687872514,75.8528452224104,"Mg_sum_Si",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2451743360979,0.251118893957311,0.227603553053206,0.724777906723639,3.66987475073282,5,13.0458863583366,58.2079601445272,NA,NA,9.10521213467739,28.5084181487511,1.12258155407923,1.56307476220281,16.0667524250479,30.3045396729739,0.48926935208495,0.480539369117535,22.6279754312449,41.2304265189261,9.89095227088899,28.3383491113597,9.6163386538576,28.3910754263056,6.76885200508163,27.8625866673277,0.153873873873874,0,71,15.8591234261633,31.9133393242371,1.86956004986784,3.11122068763537,NA,1.76389681732886,3.05541208310419,0.00957012095353787,0.0229725993698999,9.63585137444327,28.3800560928038,13.0458863583366,48.3635642416302,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0150042598911754
"Al_mult_Ca",-0.828157349896472,75.024687872514,75.8528452224104,"Al_mult_Ca",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,7.92857827008092e-16,15.2748947516639,0.252765909092291,0.228678967909007,0.686859533938109,3.60188704311372,5,12.8199154508619,57.8625151242351,NA,NA,9.95978982869955,29.5152503464345,1.08909888741256,1.51870353311228,16.0625657514535,30.306630077514,0.466457080084951,0.417588402643534,23.2806420979116,41.7002462759202,10.7253133550011,29.327862578886,10.4736693205243,29.4074948966199,7.66950533841496,28.7911829191907,0.156396396396396,0,71,15.6111367594966,31.9083428667517,1.83131249351205,3.09743954884547,NA,1.73329399971276,3.07470645439904,0.0095977835059985,0.0229621534733206,10.4859693641869,29.3888017260733,12.819915450862,48.3737410407117,NA,41,6.75609756097561,2.11873178817988,0.024390243902439,0.0410911128616385,1331.59538239538,1814.09280470136,0.166666666666667,0.121869891580834,40,0.571428571428571,0.186915887850467,3.63636363636364,2.24823162831267,1.66666666666667,1.85722248595015,5.85185185185185,2.39849489842647,0.0880936657025858,0.0820720181629758,0.100443025914634,0.105828314804389,0.0178571428571429,0.0156937779518334
"Na_diff_Ba",-0.869565217391298,74.9832800050191,75.8528452224104,"Na_diff_Ba",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2015119998946,0.254845429285335,0.229706837866459,0.74200327276807,3.67264402886312,5,13.0680312212795,58.2328629037407,NA,NA,9.9335790432263,29.5132278834299,1.13764822074589,1.56473355412466,15.9003858445674,30.3532800258622,0.49351947208495,0.482278001214597,23.4213087645782,41.6978667610678,10.7189877849077,29.327365601303,10.4535386538576,29.4061131789388,7.59858533841496,28.7979566004857,0.159279279279279,0,71,15.8227234261633,31.921899440301,1.8790835606143,3.10901199764958,NA,1.76098640711865,3.05826740627195,0.00955789051157111,0.0229764515379889,10.4697529129048,29.3876111393472,13.0680312212795,48.3581910800188,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0152370047866084
