"","accuracy_delta","accuracy_derived","accuracy_original","feature","class","general.attrtoinst","general.cattonum","general.freqclass.mean","general.freqclass.sd","general.insttoattr","general.nrattr","general.nrbin","general.nrcat","general.nrclass","general.nrinst","general.nrnum","general.numtocat"
"Na_diff_K",0.0414078674948399,75.8942530899053,75.8528452224104,"Na_diff_K",1,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_diff_K",-0.00404667795970681,75.8487985444507,75.8528452224104,"Al_diff_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Ba_mult_Fe",-0.3498023715415,75.5030428508689,75.8528452224104,"Ba_mult_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"K_diff_Ba",-0.373611895351019,75.4792333270594,75.8528452224104,"K_diff_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Ca_diff_Ba",-0.438829286655377,75.4140159357551,75.8528452224104,"Ca_diff_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"RI_div_Al",-0.808394504046674,75.0444507183638,75.8528452224104,"RI_div_Al",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_sum_Al",-0.828157349896472,75.024687872514,75.8528452224104,"Mg_sum_Al",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_sum_Si",-0.828157349896472,75.024687872514,75.8528452224104,"Mg_sum_Si",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_mult_Ca",-0.828157349896472,75.024687872514,75.8528452224104,"Al_mult_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_diff_Ba",-0.869565217391298,74.9832800050191,75.8528452224104,"Na_diff_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_sum_Ba",-0.869565217391298,74.9832800050191,75.8528452224104,"Na_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_sum_Mg",-0.891210239036326,74.9616349833741,75.8528452224104,"Na_sum_Mg",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Si_diff_K",-0.934782608695642,74.9180626137148,75.8528452224104,"Si_diff_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_diff_Ca",-0.934782608695642,74.9180626137148,75.8528452224104,"Na_diff_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_mult_Fe",-1.26293995859213,74.5899052638183,75.8528452224104,"Al_mult_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"K_mult_Fe",-1.26293995859214,74.5899052638183,75.8528452224104,"K_mult_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_sum_Si",-1.30434782608695,74.5484973963235,75.8528452224104,"Na_sum_Si",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_sum_Ca",-1.30434782608695,74.5484973963235,75.8528452224104,"Na_sum_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
